Label;Count
Person;459
Occupation;38
Date;633
Location;153
City;329
Document;36
Movement;2
Organization;178
Cricketer;25
Song;36
MusicVideo;3
Album;10
County;45
Painter;18
Art;3
Exhibition;5
Footballer;72
Institution;47
ArmyOfficer;10
Event;135
Award;37
Surname;14
Commander;11
Artist;26
Writer;20
Defense Analyst;1
Athlete;50
Politician;57
MicroscopyTechnique;1
Building;36
ArchitectureStyle;9
Company;79
StockExchange;2
Country;54
FootballClub;72
Actor;63
Region;58
SportEvent;65
TourOperator;1
Continent;4
Marriage;1
Book;14
MusicGroup;4
ChemicalCompound;8
Island;21
River;28
Librarian;2
Author;19
MemoryType;1
Businessman;15
Composer;7
Musician;27
Process;12
Industry;4
Locality;5
SkiArea;3
NationalTeam;6
Club;3
Economist;1
Team;14
Choreographer;2
Other;2
Film;37
SportsVenue;2
Indologist;2
HistoricDistrict;8
Fort;5
Cyclist;19
TelevisionEpisode;4
TelevisionSeries;15
MusicBand;1
Chart;5
Highway;10
RadioStation;15
Format;7
State;40
FracturingTechnique;1
Gas;1
Pressure;1
EnergyCompany;1
Memorial;5
Prefecture;6
Ceremony;1
Prison;2
HistoricalStructure;2
Village;37
District;46
Taluk;1
Constituency;7
TimePeriod;9
PhylogeneticTree;1
Publisher;5
LegalCase;3
Judge;8
BasketballPlayer;8
BasketballTeam;9
Anthropologist;1
College;7
RugbyPlayer;10
SportsTeam;30
University;43
Dynasty;8
Race;2
GovernmentAgency;5
Nationality;71
Sculpture;2
Geologist;4
Botanist;3
Species;55
Genus;12
MedicalCondition;2
MedicalField;2
Settlement;2
Website;4
RailwayStation;11
Railway;4
Material;9
Product;7
Governorate;2
Battle;2
ComicSeries;1
Character;12
NatureReserve;2
Council;7
Animal;8
Tree;9
Season;7
Educator;2
Moth;17
Park;12
MusicAlbum;25
MusicProducer;18
Label;16
Profession;1
Songwriter;8
MusicIndustryExecutive;2
Singer;10
Rapper;3
Criminal;4
Church;36
Architect;8
House;16
Mountain;17
Province;13
Municipality;4
SingerSongwriter;4
BookSeries;2
Gymnast;7
Stream;4
GeographicalFeature;5
Hospital;1
Poet;9
Diplomat;7
Campaign;1
Enzyme;3
Organism;3
Bacteria;6
BodyOfWater;16
FootballPlayer;9
TelevisionChannel;2
Conference;4
Election;14
Family;9
Director;24
Software;13
Community;8
Beetle;12
Platform;2
AnimeDirector;1
Library;3
Mandal;1
RevenueDivision;1
Ship;7
Playwright;9
Historian;8
Descent;9
CulturalWork;2
MythologicalCharacter;5
Play;4
Painting;3
Music;1
Coach;2
RugbyTeam;10
Stadium;6
Neighborhood;7
AnimalBreed;14
Archipelago;1
Soldier;4
Manager;5
List;2
Comedian;1
Inventor;1
Philosopher;1
Sociologist;2
Component;2
Feature;5
Townland;1
CivilParish;1
Barony;1
Diocese;4
NaturePark;3
Temple;6
Town;12
Psychologist;1
Lecturer;1
Instrument;1
Field;2
Documentary;5
Controversy;1
Meteorologist;1
Monk;3
Translator;4
Manuscript;1
Monastery;1
Museum;7
Glacier;2
Arena;3
Band;20
Broadcaster;5
Journalist;3
Lexicographer;1
BusinessSchool;1
Trail;3
Submarine;2
MilitaryOrganization;4
Shipyard;4
HighSchool;11
Principal;1
Policy;2
Saint;3
Photographer;3
GraphicNovel;1
TheaterProduction;1
Fraternity;1
Tournament;4
Color;2
SuicideBombing;2
MilitantGroup;2
Military;3
HeritageRegister;4
Banker;3
Lawyer;4
Examination;1
Officer;4
Peninsula;1
WaterSportEquipment;4
Cycad;1
Cinematographer;3
Mathematician;2
ComputerScientist;1
Commune;6
PoliticalStrategist;1
PoliticalCampaign;2
PoliticalOrganization;1
Tool;2
CatholicPrelate;1
AdvisoryFirm;1
Corporation;2
FinancialSponsor;1
Government;2
Project;5
MythologicalFigure;5
Teacher;5
ArchaeologicalSite;6
Locomotive;1
Nickname;1
TennisTournament;12
Bank;4
BicycleRace;4
Subgenus;6
PowerStation;4
Activist;1
Chemical;4
HistoricPlace;13
Biologist;1
OilField;4
Pipeline;1
Supergroup;1
ReligiousOrganization;4
PoliticalParty;15
Bridge;3
Facility;2
EducationalApproach;1
Journal;3
InvestmentGroup;1
HeadCoach;6
TelevisionShow;1
CivicBody;1
Road;4
Airport;2
TrainStation;6
FormalScientist;1
FormalLogic;1
Dialectic;1
Cemetery;7
ResearchCentre;2
Farmer;2
RecreationArea;1
SportsCompetition;1
Hill;2
Typographer;1
Bookbinder;1
Printer;1
Screenwriter;3
Designer;3
Novel;7
Sport;1
Department;7
Religion;2
BasketballExecutive;1
School;2
Composition;6
Story;2
Language;5
Period;2
Mineral;3
ChemicalFormula;1
ProteinFamily;5
Critic;1
MusicLabel;2
UnitOfMeasurement;7
Restaurant;2
War;7
Fellowship;1
Position;1
Course;1
Draft;1
Market;1
Bay;2
Lake;1
Station;1
FilmGenre;1
ArtMovement;1
AwardNomination;1
Professor;1
FederalConstituency;3
NaturalEvent;2
NonProfitOrganization;5
RadioShow;1
Scientist;1
Plant;1
Tribe;1
Dam;2
Structure;1
Editor;9
PoliticalEvent;1
SportsLeague;5
GeologicalFeature;12
Aircraft;1
PublicServant;4
Philologist;1
Archaeologist;4
Newspaper;6
PublishingCompany;1
MobileNetworkOperator;1
MathematicalConcept;6
Artwork;1
FootballTeam;6
Competition;1
License;2
Surgeon;1
TradeUnion;1
Naturalist;1
BiblicalFigure;7
LandscapeDesigner;1
Commercial;1
GeologicalSite;1
Magazine;2
Sculptor;2
MilitaryInstallation;1
MusicVenue;1
